,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,flagnull
30,Canada,CAN,5,36577.078,0.91900003,35.49599838256836,2.200000047683716,5.245896816253662,5.281219959259033,NaN,False
31,Cape Verde,CPV,4,3972.6101,0.64600003,0.5120000243186951,8.600000381469727,3.891948699951172,4.99245023727417,69.1138687133789,False
32,Central African Republic,CAF,4,690.03998,0.347,NaN,6.900000095367432,NaN,1.22393000125885,13.60074996948242,True
33,Sri Lanka,LKA,8,5466.8701,0.764,20.54100036621094,7.800000190734863,4.644126892089844,1.925660014152527,85.42613983154297,False
34,Chad,TCD,4,1651.05,0.39399999,NaN,8.600000381469727,2.528029441833496,2.849709987640381,NaN,False
35,Chile,CHL,2,15519.08,0.84500003,17.81900024414063,3.200000047683716,3.69163703918457,4.750120162963867,88.29785919189453,False
36,China,CHN,6,9283.3799,0.73400003,NaN,4.599999904632568,4.028250217437744,NaN,NaN,False
37,Taiwan,TWN,6,33965.871,NaN,23.43400001525879,NaN,3.908831357955933,NaN,NaN,False
38,Colombia,COL,2,8761.1396,0.72399998,47.6619987487793,6.699999809265137,3.405907869338989,4.659409999847412,78.58606719970703,False
39,Comoros,COM,4,972.35999,0.498,0.7760000228881836,7.800000190734863,NaN,4.868619918823242,43.93447113037109,True
40,Congo,COG,4,2369.8401,0.58999997,NaN,6.800000190734863,NaN,NaN,NaN,True
41,"Congo, Democratic Republic",COD,4,324.16,0.42500001,NaN,7.099999904632568,2.957446813583374,2.245349884033203,NaN,False
42,Costa Rica,CRI,2,9485.71,0.77499998,NaN,3.5,4.666448593139648,6.927239894866943,78.12113952636719,False
43,Croatia,HRV,1,18020.41,0.82300001,4.23799991607666,4.5,3.225566625595093,4.581600189208984,92.67062377929688,False
44,Cuba,CUB,2,5899.9399,0.773,NaN,5.699999809265137,NaN,NaN,87.48567199707031,True
